passenger_id,first_name,last_name,gender,age,nationality,airport_name,airport_country_code,country_name,airport_continent,continents,departure_date,arrival_airport,pilot_name,flight_status
ABVWIg,Edithe,Leggis,Female,62,Japan,Coldfoot Airport,US,United States,NAM,North America,2022-06-28,CXF,Fransisco Hardes,On Time
jkXXAX,Elwood,Catt,Male,62,Nicaragua,Kugluktuk Airport,CA,Canada,NAM,North America,2022-12-26,YCO,Jaine Dudden,On Time
CdUz2g,Darby,Felgate,Male,67,Russia,Grenoble-Isère Airport,FR,France,EU,Europe,2022-01-18,GNB,Carroll Hefner,On Time
BRS38V,Dominica,Pyle,Female,71,China,Ottawa / Gatineau Airport,CA,Canada,NAM,North America,2022-09-16,YND,Ileana Dottridge,Delayed
9kvTLo,Bay,Pencost,Male,21,China,Gillespie Field,US,United States,NAM,North America,2022-02-25,SEE,Renell Gibbons,On Time
Vb8cqW,Tripp,Dockwra,Male,26,Saudi Arabia,Vermilion Airport,CA,Canada,NAM,North America,2022-11-13,YVG,Theadora Napper,Delayed
pXEXWp,Lucy,Hinzer,Female,8,Kazakhstan,Prince Rupert Airport,CA,Canada,NAM,North America,2022-11-25,YPR,Jarrod Bauers,On Time
k5nV87,Ivory,Tewkesbury,Male,66,China,Abu Dhabi International Airport,AE,United Arab Emirates,AS,Asia,2022-09-23,AUH,Philippe Feltham,On Time
nlHBA9,Thaddeus,Watts,Male,60,Japan,Port Elizabeth International Airport,ZA,South Africa,AF,Africa,2022-03-04,PLZ,Matias Paulitz,On Time
03fWz4,Jennette,Rawet,Female,59,Madagascar,Dhangadhi Airport,NP,Nepal,AS,Asia,2022-09-14,DHI,Jeffrey Matignon,On Time
RGgHF1,Reina,Glentworth,Female,11,Palestinian Territory,Cheongju International Airport,KR,South Korea,AS,Asia,2022-04-21,CJJ,Ricky Roylance,On Time
B1y25r,Leonelle,Belasyse,Female,33,Trinidad and Tobago,Tezu Airport,IN,India,AS,Asia,2022-05-29,TEI,Lane Brayfield,On Time
UgjNqn,Ange,Andreev,Male,44,Peru,Kangaatsiaq Heliport,GL,Greenland,NAM,North America,2022-10-19,QPW,Guido Lardner,On Time
M2vMcS,Kathryne,Goodwyn,Female,12,China,Antonio Roldán Betancourt Airport,CO,Colombia,SAM,South America,2022-03-07,APO,Jodi Warnes,On Time
AIfQlP,Clarette,Saterthwaite,Female,19,Ukraine,Mo i Rana Airport Røssvoll,NO,Norway,EU,Europe,2022-06-10,MQN,Derrek Scroyton,On Time
ZSqcyG,Skelly,Saenz,Male,60,Portugal,Amsterdam Airport Schiphol,NL,Netherlands,EU,Europe,2022-02-09,AMS,Wait Olorenshaw,Cancelled
mUr9qM,Saree,Tailour,Female,1,Mongolia,Gimpo International Airport,KR,South Korea,AS,Asia,2022-09-28,GMP,Hercule Jellis,On Time
